Table 38, ,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Age, 2019",,, ,,,,,,,,,,,,,,,,,,,,,,,
"[10,831 agencies; 2019 estimated population 229,735,355]",,,,,,,, ,,,,,,,,,,,,,,,,,,
Offense charged,"Total
all ages","Ages
under 15","Ages
under 18","Ages 18
and over","Under
10",10-12,13-14,15,16,17,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over"
TOTAL,"6,917,552","156,886","485,964","6,431,588","2,550","36,691","117,645","94,426","108,807","125,845","170,444","192,362","192,045","198,861","201,462","206,878","213,855","1,164,519","1,046,118","875,810","610,752","459,614","368,597","280,854","148,619","100,798"
Total percent distribution1,100.0,2.3,7.0,93.0,*,0.5,1.7,1.4,1.6,1.8,2.5,2.8,2.8,2.9,2.9,3.0,3.1,16.8,15.1,12.7,8.8,6.6,5.3,4.1,2.1,1.5
Murder and nonnegligent manslaughter,"7,711",74,601,"7,110",0,11,63,107,165,255,400,413,389,370,317,299,295,"1,408",950,747,501,340,223,197,127,134
Rape2,"16,966","1,264","2,887","14,079",31,357,876,499,516,608,748,579,591,523,469,409,421,"2,077","2,016","1,765","1,252",982,821,629,395,402
Robbery,"56,854","2,665","12,266","44,588",8,333,"2,324","2,692","3,312","3,597","3,797","3,172","2,520","2,245","2,034","1,831","1,849","8,733","6,548","4,511","2,777","1,739","1,372",904,385,171
Aggravated assault,"277,561","6,867","19,499","258,062",138,"1,864","4,865","3,723","4,185","4,724","5,825","6,592","7,093","7,931","8,070","8,623","8,932","48,857","42,678","35,119","24,082","18,096","14,342","11,016","6,134","4,672"
Burglary,"120,242","4,806","14,504","105,738",88,"1,024","3,694","3,089","3,286","3,323","3,953","3,872","3,310","3,281","3,232","3,548","3,746","20,129","18,695","15,020","9,419","6,665","5,130","3,456","1,498",784
Larceny-theft,"604,287","18,480","62,200","542,087",231,"3,754","14,495","12,482","14,536","16,702","20,361","19,232","17,194","16,399","15,966","15,967","16,364","94,072","88,432","73,764","50,915","38,842","31,941","23,360","11,785","7,493"
Motor vehicle theft,"57,738","2,626","9,742","47,996",4,260,"2,362","2,442","2,450","2,224","2,010","1,793","1,653","1,630","1,600","1,653","1,782","10,017","8,986","6,845","4,092","2,648","1,758",994,361,174
Arson,"6,369",717,"1,264","5,105",50,247,420,210,177,160,146,122,105,122,111,120,154,868,831,785,542,353,326,258,130,132
Violent crime3,"359,092","10,870","35,253","323,839",177,"2,565","8,128","7,021","8,178","9,184","10,770","10,756","10,593","11,069","10,890","11,162","11,497","61,075","52,192","42,142","28,612","21,157","16,758","12,746","7,041","5,379"
Violent crime percent distribution1,100.0,3.0,9.8,90.2,*,0.7,2.3,2.0,2.3,2.6,3.0,3.0,2.9,3.1,3.0,3.1,3.2,17.0,14.5,11.7,8.0,5.9,4.7,3.5,2.0,1.5
Property crime3,"788,636","26,629","87,710","700,926",373,"5,285","20,971","18,223","20,449","22,409","26,470","25,019","22,262","21,432","20,909","21,288","22,046","125,086","116,944","96,414","64,968","48,508","39,155","28,068","13,774","8,583"
Property crime percent distribution1,100.0,3.4,11.1,88.9,*,0.7,2.7,2.3,2.6,2.8,3.4,3.2,2.8,2.7,2.7,2.7,2.8,15.9,14.8,12.2,8.2,6.2,5.0,3.6,1.7,1.1
Other assaults,"717,793","38,619","88,269","629,524",736,"11,229","26,654","16,913","16,818","15,919","14,660","16,145","16,496","19,478","19,774","20,581","21,296","115,533","102,880","86,441","60,842","45,807","36,425","27,271","14,538","11,357"
Forgery and counterfeiting,"32,495",98,611,"31,884",2,23,73,93,149,271,747,"1,177","1,269",906,902,887,"1,037","5,856","5,570","4,805","3,174","2,161","1,533","1,079",509,272
