"State: CA","All Substances","Alcohol Only","Alcohol with secondary drug","Heroin","Other opiates","Cocaine (smoked)","Cocaine (other route)","Marijuana","Amphetamines","Other stimulants","Tranquilizers","Sedatives","Hallucinogens","PCP","Inhalants","Other/Unknown"
"Total (Number)","115,333","15,612","13,171","16,964","18,972","1,337","1,532","9,787","34,614","156","406","365","93","208","82","2,034"
"Total","100.0","13.5","11.4","14.7","16.4","1.2","1.3","8.5","30.0","0.1","0.4","0.3","0.1","0.2","0.1","1.8"
"Gender","All Substances","Alcohol Only","Alcohol with secondary drug","Heroin","Other opiates","Cocaine (smoked)","Cocaine (other route)","Marijuana","Amphetamines","Other stimulants","Tranquilizers","Sedatives","Hallucinogens","PCP","Inhalants","Other/Unknown"
"Male","62.6","61.3","64.0","67.6","61.0","61.8","71.4","64.3","60.4","64.1","60.8","59.7","64.5","60.1","31.7","63.7"
"Female","37.2","38.4","35.7","32.3","38.9","38.1","28.4","35.5","39.3","35.9","39.2","39.7","35.5","39.9","68.3","36.1"
"Unknown","0.2","0.2","0.3","0.1","0.1","0.1","0.2","0.2","0.3","0.0","0.0","0.5","0.0","0.0","0.0","0.2"
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Age","All Substances","Alcohol Only","Alcohol with secondary drug","Heroin","Other opiates","Cocaine (smoked)","Cocaine (other route)","Marijuana","Amphetamines","Other stimulants","Tranquilizers","Sedatives","Hallucinogens","PCP","Inhalants","Other/Unknown"
"12-17 years","3.9","0.6","1.4","0.0","0.8","0.4","1.4","39.2","0.3","6.4","6.2","9.3","8.6","0.5","4.9","2.8"
"18-20 years","2.1","0.8","1.4","0.5","4.0","0.4","3.9","6.6","1.2","3.2","8.4","8.5","9.7","1.0","9.8","3.4"
"21-25 years","7.7","5.1","7.1","3.9","11.6","1.2","15.5","10.5","7.4","8.3","19.0","15.6","18.3","4.8","11.0","11.8"
"26-30 years","17.5","13.8","17.2","15.5","23.1","4.5","24.7","13.9","18.2","17.3","20.4","21.1","18.3","8.7","22.0","22.2"
"31-35 years","19.9","16.7","19.3","20.0","23.9","7.0","22.8","10.9","22.2","30.1","17.0","17.5","11.8","8.7","15.9","20.2"
"36-40 years","15.2","14.3","16.2","15.0","14.5","7.6","11.1","7.6","18.2","13.5","13.1","11.0","12.9","17.3","19.5","15.8"
"41-45 years","11.0","12.3","12.4","11.7","8.8","6.5","8.0","4.6","12.9","10.9","7.6","6.3","2.2","13.0","8.5","9.4"
"46-50 years","6.9","9.7","8.1","7.5","4.2","12.0","3.9","2.3","7.7","4.5","3.0","3.0","3.2","16.8","4.9","5.2"
"51-55 years","6.4","10.5","7.9","7.6","3.4","20.3","3.5","1.8","6.2","2.6","2.7","2.5","5.4","13.5","0.0","3.7"
"56-60 years","4.9","8.6","5.5","7.4","2.5","20.3","2.5","1.4","3.5","1.3","2.2","3.0","8.6","11.5","1.2","2.4"
"61-65 years","3.1","5.1","2.7","6.2","1.8","14.7","2.0","0.8","1.7","1.3","0.5","1.4","1.1","3.4","2.4","1.9"
"66 years and over","1.6","2.5","0.7","4.6","1.3","5.2","0.9","0.3","0.5","0.6","0.0","0.8","0.0","1.0","0.0","1.1"
"Unknown","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Race","All Substances","Alcohol Only","Alcohol with secondary drug","Heroin","Other opiates","Cocaine (smoked)","Cocaine (other route)","Marijuana","Amphetamines","Other stimulants","Tranquilizers","Sedatives","Hallucinogens","PCP","Inhalants","Other/Unknown"
"White","51.1","52.7","50.7","59.1","63.8","16.2","33.6","33.5","46.2","60.3","55.4","52.9","41.9","15.9","58.5","63.4"
"Black or African-American","11.2","9.8","11.3","10.3","6.0","69.0","23.0","16.5","10.9","10.3","5.4","4.7","25.8","60.6","3.7","6.8"
"American Indian or Alaska Native","1.7","1.4","2.2","1.5","1.8","0.1","0.8","1.3","1.8","0.6","0.2","1.1","2.2","0.5","1.2","1.6"
"Asian or Native Hawaiian or Other Pacific Islander","2.4","2.4","1.7","1.7","1.9","3.0","3.5","2.3","3.2","7.1","5.4","6.3","6.5","0.0","2.4","2.0"
"Other","27.6","28.1","28.3","22.5","20.5","8.5","33.6","39.7","31.3","17.9","26.6","26.8","17.2","20.2","23.2","20.7"
"Unknown","6.0","5.6","5.8","4.9","6.1","3.1","5.7","6.8","6.6","3.8","6.9","8.2","6.5","2.9","11.0","5.6"
